epochs;learning_rate;batch_size;accuracy_train;accuracy_test;recall_train;recall_test;f1_train;f1_test
50;0.001;16; 0.028388278388278388 ;0.017094017094017096;0.02564102564102564;0.02564102564102564;0.0014156220745713177;0.0008618832148243913
50;0.001;32;0.028388278388278388;0.017094017094017096;0.02564102564102564;0.02564102564102564;0.0014156220745713177;0.0008618832148243913
50;0.001;64;0.9344322344322344;0.8846153846153846;0.9340453982261031;0.878465843119619;0.9346571056256824;0.881079170282888
50;0.01;16;0.027106227106227107;0.022222222222222223;0.02564102564102564;0.02564102564102564;0.0013533779582281722;0.0011148272017837235
50;0.01;32;0.02783882783882784;0.020512820512820513;0.02564102564102564;0.02564102564102564;0.001388965038287918;0.001030795000644247
50;0.01;64;0.028388278388278388;0.017094017094017096;0.02564102564102564;0.02564102564102564;0.0014156220745713177;0.0008618832148243913
50;0.05;16;0.026556776556776556;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.0013266543150575265;0.001282051282051282
50;0.05;32;0.02673992673992674;0.023931623931623933;0.02564102564102564;0.02564102564102564;0.0013355653740955203;0.0011985788279611318
50;0.05;64;0.026923076923076925;0.023076923076923078;0.02564102564102564;0.02564102564102564;0.0013444732545856142;0.001156737998843262
70;0.001;16;0.9461538461538461;0.9205128205128205;0.9454617292313319;0.9200585905644368;0.9461951260362599;0.9194067703030371
70;0.001;32;0.9598901098901099;0.9076923076923077;0.9591701135963407;0.9107965820642135;0.9592290775378667;0.9075220238716809
70;0.001;64;0.9001831501831502;0.870940170940171;0.89991470705985;0.8693710705094131;0.8978032694223393;0.8633468042280191
70;0.01;16;0.02783882783882784;0.020512820512820513;0.02564102564102564;0.02564102564102564;0.001388965038287918;0.001030795000644247
70;0.01;32;0.028388278388278388;0.017094017094017096;0.02564102564102564;0.02564102564102564;0.0014156220745713177;0.0008618832148243913
70;0.01;64;0.02783882783882784;0.020512820512820513;0.02564102564102564;0.02564102564102564;0.001388965038287918;0.001030795000644247
70;0.05;16;0.02490842490842491;0.03504273504273504;0.02564102564102564;0.02564102564102564;0.0012463114678983157;0.0017362213894005802
70;0.05;32;0.02600732600732601;0.028205128205128206;0.02564102564102564;0.02564102564102564;0.0012999020496342881;0.0014067395613530276
70;0.05;64;0.027472527472527472;0.021367521367521368;0.02564102564102564;0.02564102564102564;0.001371177841766077;0.0010728462611307799
100;0.001;16;0.04249084249084249;0.04957264957264957;0.04319837712620357;0.046515337970884786;0.005942342934543458;0.007664526522381415
100;0.001;32;0.9871794871794872;0.9487179487179487;0.98732669958823;0.9485144405594073;0.9871176922943058;0.9480368916617089
100;0.001;64;0.9866300366300367;0.9478632478632478;0.9863163448483538;0.9471807576680834;0.986534545736165;0.9460061022568639
100;0.01;16;0.028388278388278388;0.017094017094017096;0.02564102564102564;0.02564102564102564;0.0014156220745713177;0.0008618832148243913
100;0.01;32;0.027106227106227107;0.022222222222222223;0.02564102564102564;0.02564102564102564;0.0013533779582281722;0.0011148272017837235
100;0.01;64;0.02783882783882784;0.020512820512820513;0.02564102564102564;0.02564102564102564;0.001388965038287918;0.001030795000644247
100;0.05;16;0.026923076923076925;0.02564102564102564;0.02564102564102564;0.02564102564102564;0.0013444732545856142;0.001282051282051282
100;0.05;32;0.028388278388278388;0.017094017094017096;0.02564102564102564;0.02564102564102564;0.0014156220745713177;0.0008618832148243913
100;0.05;64;0.026923076923076925;0.026495726495726495;0.02564102564102564;0.02564102564102564;0.0013444732545856142;0.0013236832554068192
